,nom motif,a0,a1,a2,a12
4,sol asphalte,54.8973874146048,-0.0117744827666346,4.13740540858011,0.0920181555196375
1,sol terre,48.0764342071957,-0.230124335262717,4.26565999572524,-0.0675908164449854
3,sol pelouse,30.0484713072124,-3.29478565511318,3.50586120480079,0.843612310348496
14,arbre isole asphalte,30.2156374312195,-1.51684332673559,2.19108780257828,-0.55930440648962
11,arbre isole terre,27.5048644555587,-1.75860004018319,2.25661707587112,-0.547836417285572
13,arbre isole pelouse,19.0983795634077,-4.13956182256667,1.67924970785869,-0.211113667326749
24,boise asphalte,26.1874825455298,-0.287005054934395,3.8820453993809,-0.128339054152392
21,boise terre,25.675174581299,-0.437891525770329,3.91460514431356,-0.126367981263718
23,boise pelouse,23.1064013839216,-1.17550056603588,3.68974819552426,-0.0079339194004433
34,foret asphalte,23.8811901535882,-0.160398384086339,4.07996379277329,-0.0967623574597338
31,foret terre,23.6872165707521,-0.232572436332018,4.09182734178445,-0.0920800134096895
33,foret pelouse,22.4770953573965,-0.607850634777389,3.96937690154634,-0.0483086327504978
