,nom motif,a0,a1,a2,a12
4,sol asphalte,19.3153128897262,-0.0332371722446627,4.22079851223093,-0.0409821722196497
1,sol terre,17.5744978119157,0.00984842144026832,4.3238937235639,0.0205612067585852
3,sol pelouse,15.94961006064,-0.0644128381119229,4.1503896187731,-0.0754080928825234
14,arbre isole asphalte,12.2473862040025,-1.70245764984809,2.59271581943848,-0.473145257830172
11,arbre isole terre,11.3787018873335,-1.73419032668014,2.60374840421441,-0.463602429607823
13,arbre isole pelouse,10.2978444998706,-1.94126250505379,2.39606703865621,-0.496738051793241
24,boise asphalte,16.1625551132279,-0.425736215407614,3.81328294267952,-0.132667055478553
21,boise terre,15.8571850786314,-0.474513263211414,3.82239243641889,-0.106360486852375
23,boise pelouse,15.3045060130739,-0.634503307996647,3.66507051436563,-0.126467987162545
34,foret asphalte,16.5563762945274,-0.227294233067351,3.93231805017537,-0.0735213422641525
31,foret terre,16.4156161390151,-0.251375697894876,3.94190092678994,-0.0691666124753496
33,foret pelouse,16.0404682962734,-0.380685923515976,3.8477701623801,-0.0760146700007507
