,nom motif,a0,a1,a2,a12
4,sol asphalte,0.00652799507490889,-0.00163434717422796,0.000180120162352405,-7.62006240822403E-05
1,sol terre,0.00662557273289732,-0.00163615239559159,0.000249683578705491,-5.94516798112831E-05
3,sol pelouse,0.0101991149458137,-0.000619056225074442,0.00186811412882106,-0.000181278819646125
14,arbre isole asphalte,0.0312919427087788,-0.000397004705466461,0.0160365182745394,0.00183248881041254
11,arbre isole terre,0.164754090756677,-0.149031243186155,0.145951850260393,-0.148040535532571
13,arbre isole pelouse,0.0119772064838674,-0.0104082785490404,-0.0112348204313564,0.0100393740557893
24,boise asphalte,0.0194107539114956,-0.00433022817958643,-0.0113589460465768,0.00254972242800107
21,boise terre,0.0208402204162452,-0.00530994967259182,-0.0131826268746155,0.00025935048920162
23,boise pelouse,0.0229820496313429,-0.0157958604841135,-0.00926107519922173,0.00774856441100272
34,foret asphalte,0.0556933271121328,0.0146846736532189,-0.00658307601897147,-0.0418680998925307
31,foret terre,0.0525611514460037,-0.02097632711653,-0.00377577811967667,-0.00598792325480822
33,foret pelouse,0.0475024504280595,-0.029951599715725,-0.0011201062730903,0.00490542149442616
